,index,context,question0,question1,question2,question3,answer0,answer1,answer2,answer3
604,773,"Additionally, the Italian Eritrea administration opened a number of new factories, which produced buttons, cooking oil, pasta, construction materials, packing meat, tobacco, hide and other household commodities. In 1939, there were around 2,198 factories and most of the employees were Eritrean citizens. The establishment of industries also made an increase in the number of both Italians and Eritreans residing in the cities. The number of Italians residing in the territory increased from 4,600 to 75,000 in five years; and with the involvement of Eritreans in the industries, trade and fruit plantation was expanded across the nation, while some of the plantations were owned by Eritreans.",What did the Eritrea administration open to produce products such as buttons and construction materials?,How many factories were in Eritrea by 1939?,Who were the main employees in the factories of Eritrea?,"Besides Eritreans, which other nationality increased its city population because of new industries?",a number of new factories,"around 2,198",Eritrean citizens,Italians
605,774,"Additionally, there are a number of Assistant Chiefs of Defence Staff, including the Assistant Chief of the Defence Staff (Reserves and Cadets) and the Defence Services Secretary in the Royal Household of the Sovereign of the United Kingdom, who is also the Assistant Chief of Defence Staff (Personnel).",One of the Assistant Chiefs of the Defence Staff is for Reserves and what?,The Personnel Chief is also known as what?,There is a Defence Services Secretary in the Royal Household of the what?,Who are two of the Assistant Chiefs of the Defence Staff?,Cadets,the Defence Services Secretary in the Royal Household of the Sovereign of the United Kingdom,Sovereign,Assistant Chief of the Defence Staff (Reserves and Cadets) and the Defence Services Secretary in the Royal Household of the Sovereign of the United Kingdom
606,775,"Additionally, there are around 60,000 non-Jewish African immigrants in Israel, some of whom have sought asylum. Most of the migrants are from communities in Sudan and Eritrea, particularly the Niger-Congo-speaking Nuba groups of the southern Nuba Mountains; some are illegal immigrants.",How many non-jewish African immigrants live in Israel?,What have these immigrants sought?,Where are most of them from?,What languages do they speak?,"around 60,000",asylum,Sudan and Eritrea,Niger-Congo
607,776,"Additionally, there are issues of connections between different electrical services, particularly connecting intercity lines with sections electrified for commuter traffic, but also between commuter lines built to different standards. This can cause electrification of certain connections to be very expensive simply because of the implications on the sections it is connecting. Many lines have come to be overlaid with multiple electrification standards for different trains to avoid having to replace the existing rolling stock on those lines. Obviously, this requires that the economics of a particular connection must be more compelling and this has prevented complete electrification of many lines. In a few cases, there are diesel trains running along completely electrified routes and this can be due to incompatibility of electrification standards along the route.",What is the other issue that comes to sight when using electrification system?,Why the commuter lines built to different standards can cause be complicated?,What is the solution many lines came up with in order to avoid replacing present rolling stock?,Why are disel trains  still used on electrified routes?,connections between different electrical services,the implications on the sections it is connecting,to be overlaid with multiple electrification standards,due to incompatibility of electrification standards
608,777,"Adherents of different religions generally disagree as to how to best worship God and what is God's plan for mankind, if there is one. There are different approaches to reconciling the contradictory claims of monotheistic religions. One view is taken by exclusivists, who believe they are the chosen people or have exclusive access to absolute truth, generally through revelation or encounter with the Divine, which adherents of other religions do not. Another view is religious pluralism. A pluralist typically believes that his religion is the right one, but does not deny the partial truth of other religions. An example of a pluralist view in Christianity is supersessionism, i.e., the belief that one's religion is the fulfillment of previous religions. A third approach is relativistic inclusivism, where everybody is seen as equally right; an example being universalism: the doctrine that salvation is eventually available for everyone. A fourth approach is syncretism, mixing different elements from different religions. An example of syncretism is the New Age movement.",Who believe they are the one and only chosen few?,Who believe that they are the only people that know the truth?,"What is one called that believes he has the one religion, but that the others aren't necessarily wrong?",What is it called when someone belives that their own religion is an advancement of older religions?,exclusivists,exclusivists,pluralism,supersessionism
609,778,"Adjacent to the palace is the Royal Mews, also designed by Nash, where the royal carriages, including the Gold State Coach, are housed. This rococo gilt coach, designed by Sir William Chambers in 1760, has painted panels by G. B. Cipriani. It was first used for the State Opening of Parliament by George III in 1762 and has been used by the monarch for every coronation since George IV. It was last used for the Golden Jubilee of Elizabeth II. Also housed in the mews are the coach horses used at royal ceremonial processions.",Where is the Gold State Coach housed?,When was the Gold State Coach first used?,The Royal Mews houses which type of animal?,Who designed the Royal Mews?,the Royal Mews,1762,horses,Nash
610,780,"Admiral Grace Hopper, an American computer scientist and developer of the first compiler, is credited for having first used the term ""bugs"" in computing after a dead moth was found shorting a relay in the Harvard Mark II computer in September 1947.",Who was the developer of the first compier?,"Who first coined the term ""bugs""?",What type of creature shorted a relay of Grace Hopper's computer?,What type of computer of Grace Hopper's was shorted by a moth?,Admiral Grace Hopper,Admiral Grace Hopper,moth,Harvard Mark II
611,781,"Admissions are characterized as ""most selective"" by U.S. News & World Report. There were 35,099 applications for the undergraduate class of 2020 (entering 2016), and 3,751 (10.7%) were admitted, making Northwestern one of the most selective schools in the United States. For freshmen enrolling in the class of 2019, the interquartile range (middle 50%) on the SAT was 690â€“760 for critical reading and 710-800 for math, ACT composite scores for the middle 50% ranged from 31â€“34, and 91% ranked in the top ten percent of their high school class.",How selective are admissions at Northwestern characterized by U.S. News & World Report?,What percentage of applications were admitted for the undergraduate class entering in 2016?,What percentage of freshman students enrolling in the class of 2019 ranked in the top 10% of their high school class?,"For freshman enrolling in the class of 2019, what was the interquartile range on the SAT for critical reading?",most selective,10.70%,91%,690â€“760
612,782,"Adolescence (from Latin adolescere, meaning ""to grow up"") is a transitional stage of physical and psychological human development that generally occurs during the period from puberty to legal adulthood (age of majority). The period of adolescence is most closely associated with the teenage years, though its physical, psychological and cultural expressions may begin earlier and end later. For example, although puberty has been historically associated with the onset of adolescent development, it now typically begins prior to the teenage years and there has been a normative shift of it occurring in preadolescence, particularly in females (see precocious puberty). Physical growth, as distinct from puberty (particularly in males), and cognitive development generally seen in adolescence, can also extend into the early twenties. Thus chronological age provides only a rough marker of adolescence, and scholars have found it difficult to agree upon a precise definition of adolescence.","From which language does the word ""adolescence"" originate?","What is the Latin meaning of the word ""adolescere""?",What is another term for legal adulthood?,Physical growth and cognitive development generally observed in adolescents can extend to what age?,Latin,to grow up,age of majority,early twenties
613,783,"Adolescence is a period frequently marked by increased rights and privileges for individuals. While cultural variation exists for legal rights and their corresponding ages, considerable consistency is found across cultures. Furthermore, since the advent of the Convention on the Rights of the Child in 1989 (children here defined as under 18), almost every country in the world (except the U.S. and South Sudan) has legally committed to advancing an anti-discriminatory stance towards young people of all ages. This includes protecting children against unchecked child labor, enrollment in the military, prostitution, and pornography. In many societies, those who reach a certain age (often 18, though this varies) are considered to have reached the age of majority and are legally regarded as adults who are responsible for their actions. People below this age are considered minors or children. A person below the age of majority may gain adult rights through legal emancipation.",In what year was the Convention on the Rights of the Child created?,What two countries have not legally committed to advancing an anti-discriminaory stance towards young people?,A person below the age of majority may gain adult rights through what process?,What is legally different for an individual who has reached the age of majority?,1989,U.S. and South Sudan,legal emancipation,regarded as adults who are responsible for their actions
614,784,"Adolescence is also a time for rapid cognitive development. Piaget describes adolescence as the stage of life in which the individual's thoughts start taking more of an abstract form and the egocentric thoughts decrease. This allows the individual to think and reason in a wider perspective. A combination of behavioural and fMRI studies have demonstrated development of executive functions, that is, cognitive skills that enable the control and coordination of thoughts and behaviour, which are generally associated with the prefrontal cortex. The thoughts, ideas and concepts developed at this period of life greatly influence one's future life, playing a major role in character and personality formation.",Who describes adolescence as the stage of life in which the individual's thoughts start taking more of an abstract form?,What is another term for congitive skills that enable the control and coordination of thoughts and behavior?,Which cortex is commonly associated with the coordination of thoughts and behavior?,Does Piaget believe that egocentric thoughts decrease or increase during adolescence?,Piaget,executive functions,prefrontal cortex,decrease
615,785,"Adolescence is frequently characterized by a transformation of an adolescent's understanding of the world, the rational direction towards a life course, and the active seeking of new ideas rather than the unquestioning acceptance of adult authority. An adolescent begins to develop a unique belief system through his or her interaction with social, familial, and cultural environments. While organized religion is not necessarily a part of every adolescent's life experience, youth are still held responsible for forming a set of beliefs about themselves, the world around them, and whatever higher powers they may or may not believe in. This process is often accompanied or aided by cultural traditions that intend to provide a meaningful transition to adulthood through a ceremony, ritual, confirmation, or rite of passage.",Through what means does an adolescent develop a unique belief system?,The active seeking of new ideas rather than the unquestioning acceptance of adult authority is known as what stage of development?,What things are youth responsible for forming a set of beliefs about during adolescence?,"Ceremonies, rituals, and confirmations are examples of what?","interaction with social, familial, and cultural environments",Adolescence,"themselves, the world around them, and whatever higher powers they may or may not believe in",cultural traditions that intend to provide a meaningful transition to adulthood
616,787,"Adolescence marks a time of sexual maturation, which manifests in social interactions as well. While adolescents may engage in casual sexual encounters (often referred to as hookups), most sexual experience during this period of development takes place within romantic relationships. Adolescents can use technologies and social media to seek out romantic relationships as they feel it is a safe place to try out dating and identity exploration. From these social media encounters, a further relationship may begin. Kissing, hand holding, and hugging signify satisfaction and commitment. Among young adolescents, ""heavy"" sexual activity, marked by genital stimulation, is often associated with violence, depression, and poor relationship quality. This effect does not hold true for sexual activity in late adolescence that takes place within a romantic relationship. Some research suggest that there are genetic causes of early sexual activity that are also risk factors for delinquency, suggesting that there is a group who are at risk for both early sexual activity and emotional distress. For old adolescents, though, sexual activity in the context of romantic relationships was actually correlated with lower levels of deviant behavior after controlling for genetic risks, as opposed to sex outside of a relationship (hook-ups)",Casual sexual encounters are often referred to as what?,Do most sexual experiences during adolescence take place within or seperate from romantic relationships?,"Where do some adolescents feel is a safe place to seek out romantic relationships, try out dating and indentity exploration?","What seperates ""heavy"" sexual activity from other forms of affection?",hookups,within,social media,genital stimulation
617,789,"Adolescents tend to associate with ""cliques"" on a small scale and ""crowds"" on a larger scale. During early adolescence, adolescents often associate in cliques, exclusive, single-sex groups of peers with whom they are particularly close. Despite the common notion that cliques are an inherently negative influence, they may help adolescents become socially acclimated and form a stronger sense of identity. Within a clique of highly athletic male-peers, for example, the clique may create a stronger sense of fidelity and competition. Cliques also have become somewhat a ""collective parent,"" i.e. telling the adolescents what to do and not to do. Towards late adolescence, cliques often merge into mixed-sex groups as teenagers begin romantically engaging with one another. These small friend groups then break down further as socialization becomes more couple-oriented. On a larger scale, adolescents often associate with crowds, groups of individuals who share a common interest or activity. Often, crowd identities may be the basis for stereotyping young people, such as jocks or nerds. In large, multi-ethnic high schools, there are often ethnically-determined crowds. While crowds are very influential during early and middle adolescence, they lose salience during high school as students identify more individually.","Do adolescents associate with ""cliques"" on a large or small scale?",How are cliques defined?,What are the positive effects that cliques may have on an adolescent?,"Do adolescents associate with ""crowds"" on a large or small scale?",small,"exclusive, single-sex groups of peers with whom they are particularly close",help adolescents become socially acclimated and form a stronger sense of identity,larger
618,790,"Adolescents' thinking is less bound to concrete events than that of children: they can contemplate possibilities outside the realm of what currently exists. One manifestation of the adolescent's increased facility with thinking about possibilities is the improvement of skill in deductive reasoning, which leads to the development of hypothetical thinking. This provides the ability to plan ahead, see the future consequences of an action and to provide alternative explanations of events. It also makes adolescents more skilled debaters, as they can reason against a friend's or parent's assumptions. Adolescents also develop a more sophisticated understanding of probability.",Are adolescents or children more bound to concrete events?,Deductive reasoning leads to the development of what type of thinking?,What type of thinking provides the ability to plan ahead and makes adolescents more skilled debaters?,Adolescents develop a more sophisticated understanding of what mathematical concept thanks to their increased hypothetical thinking abilties?,children,hypothetical,hypothetical,probability
619,791,"Adolf Hitler failed to pay as much attention to bombing the enemy as he did to protection from enemy bombing, although he had promoted the development of a bomber force in the 1930s and understood that it was possible to use bombers for major strategic purposes. He told the OKL in 1939 that ruthless employment of the Luftwaffe against the heart of the British will to resist could and would follow when the moment was right; however, he quickly developed a lively scepticism toward strategic bombing, confirmed by the results of the Blitz. He frequently complained of the Luftwaffe's inability to damage industries sufficiently, saying, ""The munitions industry cannot be interfered with effectively by air raids ... usually the prescribed targets are not hit"".",What year was the beginning of enemy bombing first promoted by Hitler?,Who had skepticism towards strategic bombing? ,Why did Hitler feel bombing wasn't working?,In 1939 Hitler said bombing of Britain would begin when?,1930s,Adolf Hitler,inability to damage industries,the moment was right
620,792,"Adult contemporary R&B may be played on both soft AC stations and urban AC. It is a form of neo soul R&B that places emphasis on songcraft and sophistication. As the use of drum machines, synthesizers, and sequencers dominates R&B-rooted music, adult contemporary R&B tends to take most of its cues from the more refined strains of 1970s soul, such as smooth soul, Philly soul and quiet storm. Classic songwriting touches and organic-leaning instrumentation, often featuring string arrangements and horn charts, were constants.","Along with soft AC, on what station format might adult contemporary R&B be featured?",What features are emphasized in adult contemporary R&B music?,"Along with smooth soul and quiet storm, what genre influenced adult contemporary R&B?",During what decade was smooth soul popular?,urban AC,songcraft and sophistication,Philly soul,1970s
621,793,"Adult contemporary is heavy on romantic sentimental ballads which mostly use acoustic instruments (though bass guitar is usually used) such as acoustic guitars, pianos, saxophones, and sometimes an orchestral set. The electric guitars are normally faint and high-pitched. However, recent adult contemporary music may usually feature synthesizers (and other electronics, such as drum machines).",What type of song is frequently seen in the adult contemporary genre?,"Along with synthesizers, what electronic instruments sometimes appear in modern adult contemporary?",What general type of instruments tend to be used in adult contemporary?,What electric instrument is often seen in adult contemporary?,romantic sentimental ballads,drum machines,acoustic,bass guitar
622,794,"Adult contemporary music (AC) is a style of music, ranging from 1960s vocal and 1970s soft rock music to predominantly ballad-heavy music of the present day, with varying degrees of easy listening, pop, soul, rhythm and blues, quiet storm, and rock influence. Adult contemporary is rather a continuation of the easy listening and soft rock style that became popular in the 1960s and 1970s with some adjustments that reflect the evolution of pop/rock music.","Along with pop, soul, rhythm and blues, quiet storm, and rock, what musical style influenced adult contemporary?",What was the prevailing style of adult contemporary music in the 1970s?,What type of adult contemporary music was popular in the 1960s?,What does the acronym AC stand for?,easy listening,soft rock,vocal,Adult contemporary
623,795,"Adult contemporary tends to have lush, soothing and highly polished qualities where emphasis on melody and harmonies is accentuated. It is usually melodic enough to get a listener's attention, and is inoffensive and pleasurable enough to work well as background music. Like most of pop music, its songs tend to be written in a basic format employing a verseâ€“chorus structure.","Along with harmonies, what aspect of music is emphasized in adult contemporary?",What is the typical structure of an adult contemporary song?,With what broader style of music does adult contemporary share its structure?,"Along with being pleasurable, what trait makes adult contemporary appropriate for background music?",melody,verseâ€“chorus structure,pop music,inoffensive
624,796,"Adult contemporary traces its roots to the 1960s easy listening format, which adopted a 70-80% instrumental - 20-30% vocal mix. A few offered 90% instrumentals, and a handful were entirely instrumental. The easy listening format, as it was first known, was born of a desire by some radio stations in the late 1950s and early 1960s to continue playing current hit songs but distinguish themselves from being branded as ""rock and roll"" stations. Billboard first published the Easy Listening chart July 17, 1961, with 20 songs; the first number one was ""Boll Weevil Song"" by Brook Benton. The chart described itself as ""not too far out in either direction"".",From what decade of easy listening radio does adult contemporary trace its heritage?,"Generally speaking, what percentage of music on easy listening stations was instrumental?",On what date was the Billboard easy listening chart first published?,How many songs were on the first Billboard easy listening chart?,1960s,70-80%,17-Jul-61,20
625,797,"Adult insects typically move about by walking, flying, or sometimes swimming (see below, Locomotion). As it allows for rapid yet stable movement, many insects adopt a tripedal gait in which they walk with their legs touching the ground in alternating triangles. Insects are the only invertebrates to have evolved flight. Many insects spend at least part of their lives under water, with larval adaptations that include gills, and some adult insects are aquatic and have adaptations for swimming. Some species, such as water striders, are capable of walking on the surface of water. Insects are mostly solitary, but some, such as certain bees, ants and termites, are social and live in large, well-organized colonies. Some insects, such as earwigs, show maternal care, guarding their eggs and young. Insects can communicate with each other in a variety of ways. Male moths can sense the pheromones of female moths over great distances. Other species communicate with sounds: crickets stridulate, or rub their wings together, to attract a mate and repel other males. Lampyridae in the beetle order Coleoptera communicate with light.",What is the term for the gait of an insect characterized by walking in alternating triangles?,What larval adaptation is common to underwater insects?,What species of insect has the capability to walk on the surface of water?,What do crickets do in order to attract or repel a mate?,tripedal,gills,water striders,stridulate
626,798,"Adults have a meringue battle at midnight at the historic PlaÃ§a de les Cols. In the mysterious sortida del Moixo Foguer (the outing of Little-Bird-Bonfire) accompanied by the Xerraire (jabberer) who insults the crowd. In the King's precession he and his concubines scandalize the town with their sexual behavior. A correfoc (fire run) or Devil's dance (Ball de diables, features dancing youth amid the sparks and explosions of the ritual crew of devils. Other items includes bed races in the streets, the debauched Nit dels Mascarots, Karaoke sausage roasts, xatonades, the children's party, Vidalet, the last night of revelry, Vidalot, the talking-dance of the Mismatched Couples (Ball de Malcasats) and the children's King Caramel whose massive belly, long nose and sausage-like hair hint at his insatiable appetites.",What sort of battle do the adults have at midnight?,Who throws insults at the crowd?,What behavior scandalizes the town?,Who creates sparks and explosions?,meringue,the Xerraire,sexual,ritual crew of devils
627,800,"Advanced economies led global economic growth prior to the financial crisis with ""emerging"" and ""developing"" economies lagging behind. The crisis completely overturned this relationship. The International Monetary Fund found that ""advanced"" economies accounted for only 31% of global GDP while emerging and developing economies accounted for 69% of global GDP from 2007 to 2014. In the tables, the names of emergent economies are shown in boldface type, while the names of developed economies are in Roman (regular) type.",Who led global economic growth after the financial crisis?,How much global GDP did emerging and developing economies account for from 2007 to 2014?,"How much global GDP did ""advanced"" economies account for from 2007 to 2014?",What economies led global economic growth prior to the financial crisis?,"""emerging"" and ""developing"" economies",69%,31%,Advanced economies
628,801,"Advances in understanding genes and inheritance continued throughout the 20th century. Deoxyribonucleic acid (DNA) was shown to be the molecular repository of genetic information by experiments in the 1940s to 1950s. The structure of DNA was studied by Rosalind Franklin using X-ray crystallography, which led James D. Watson and Francis Crick to publish a model of the double-stranded DNA molecule whose paired nucleotide bases indicated a compelling hypothesis for the mechanism of genetic replication. Collectively, this body of research established the central dogma of molecular biology, which states that proteins are translated from RNA, which is transcribed from DNA. This dogma has since been shown to have exceptions, such as reverse transcription in retroviruses. The modern study of genetics at the level of DNA is known as molecular genetics.",What was shown to be the molecular repository of genetic information by experiments in the 1940s to 1950s?,Who studied the structure of DNA using x-ray crystallography?,What two scientists published a model of the double stranded DNA molecule?,What is one exception to the central dogma of molecular biology?,Deoxyribonucleic acid (DNA),Rosalind Franklin,James D. Watson and Francis Crick,reverse transcription in retroviruses
629,802,"Advances were made in irrigation and farming, using new technology such as the windmill. Crops such as almonds and citrus fruit were brought to Europe through al-Andalus, and sugar cultivation was gradually adopted by the Europeans. Arab merchants dominated trade in the Indian Ocean until the arrival of the Portuguese in the 16th century. Hormuz was an important center for this trade. There was also a dense network of trade routes in the Mediterranean, along which Muslim countries traded with each other and with European powers such as Venice, Genoa and Catalonia. The Silk Road crossing Central Asia passed through Muslim states between China and Europe.",What was the windmill used for?,which crops were brought to europe from the Muslim World?,Trading in the Indian ocean was mainly controlled by whom?,When did the Portuguese arrive in the Indian Ocean?,irrigation and farming,almonds and citrus fruit,Arab merchants,16th century
630,803,"Adventurer and poet LuÃ­s de CamÃµes (c. 1524â€“1580) wrote the epic poem ""Os LusÃ­adas"" (The Lusiads), with Virgil's Aeneid as his main influence. Modern Portuguese poetry is rooted in neoclassic and contemporary styles, as exemplified by Fernando Pessoa (1888â€“1935). Modern Portuguese literature is represented by authors such as Almeida Garrett, Camilo Castelo Branco, EÃ§a de Queiroz, Fernando Pessoa, Sophia de Mello Breyner Andresen, AntÃ³nio Lobo Antunes and Miguel Torga. Particularly popular and distinguished is JosÃ© Saramago, recipient of the 1998 Nobel Prize in Literature.",Who was LuÃ­s de CamÃµes?,What epic poem did LuÃ­s de CamÃµes write?,What was LuÃ­s de CamÃµes main influence?,What styles are modern Portuguese poetry rooted in?,Adventurer and poet,"""Os LusÃ­adas"" (The Lusiads)",Virgil's Aeneid,neoclassic and contemporary styles
631,805,"Aerobic gymnastics (formally Sport Aerobics) involves the performance of routines by individuals, pairs, trios or groups up to 6 people, emphasizing strength, flexibility, and aerobic fitness rather than acrobatic or balance skills. Routines are performed for all individuals on a 7x7m floor and also for 12â€“14 and 15-17 trios and mixed pairs. From 2009, all senior trios and mixed pairs were required to be on the larger floor (10x10m), all groups also perform on this floor. Routines generally last 60â€“90 seconds depending on age of participant and routine category.",What was aerobic gymnastics called orginally?,What does aerobic gymnastiscs involve?,How many people can be in a routine?,What is the size of the mat?,Sport Aerobics,"the performance of routines by individuals, pairs, trios or groups up to 6 people, emphasizing strength, flexibility, and aerobic fitness","individuals, pairs, trios or groups up to 6 people",7x7m
632,806,"Aeromedical Evacuation is ""the movement of patients under medical supervision to and between medical treatment facilities by air transportation"" (JP 1-02). JP 4-02, Health Service Support, further defines it as ""the fixed wing movement of regulated casualties to and between medical treatment facilities, using organic and/or contracted mobility airframes, with aircrew trained explicitly for this mission."" Aeromedical evacuation forces can operate as far forward as fixed-wing aircraft are able to conduct airland operations.",What is the movement of patients who need medical attention called?,Who coordinates the deployment of thee Aeromedical Evacuation? ,Where does the Aeromedical Evacuation team transport casualties? ,Who operates and is able to conduct airland missions? ,Aeromedical Evacuation,Health Service Support,to and between medical treatment facilities,Aeromedical evacuation forces
633,807,"Aesthetic Group Gymnastics (AGG) was developed from the Finnish ""naisvoimistelu"". It differs from Rhythmic Gymnastics in that body movement is large and continuous and teams are larger' Athletes do not use apparatus in international AGG competitions compared to Rhythmic Gymnastics where ball, ribbon, hoop and clubs are used on the floor area. The sport requires physical qualities such as flexibility, balance, speed, strength, coordination and sense of rhythm where movements of the body are emphasized through the flow, expression and aesthetic appeal. A good performance is characterized by uniformity and simultaneity. The competition program consists of versatile and varied body movements, such as body waves, swings, balances, pivots, jumps and leaps, dance steps, and lifts. The International Federation of Aesthetic Group Gymnastics (IFAGG) was established in 2003.",What does AGG stand for?,Why is AGG different than Rhythmic Gymnastics? ,Do athletes use apparatuses in the international AGG competitions?,What physical qualities are needed for rhythmic gymastics? ,Aesthetic Group Gymnastics,body movement is large and continuous and teams are larger',do not use apparatus in international AGG competitions,"flexibility, balance, speed, strength, coordination and sense of rhythm"
634,808,"Affirmative action in the United States tends to focus on issues such as education and employment, specifically granting special consideration to racial minorities, Native Americans, and women who have been historically excluded groups in America. Reports have shown that minorities and women have faced discrimination in schools and businesses for many years and this discrimination produced unfair advantages for whites and males in education and employment. The impetus toward affirmative action is redressing the disadvantages associated with past and present discrimination. Further impetus is a desire to ensure public institutions, such as universities, hospitals, and police forces, are more representative of the populations they serve.","Outside of employment, what is the other main issue that affirmative action focuses on?",Affirmative action attempts to ask institutions to grant extra consideration to what group of people outside of Native Americans and women?,Studies showed that discrimination in both business sectors and education resulted in advantages for what group of people?,"Affirmative action does not only attempt to remove disadvantages, but also to ensure what about the number of people in a field?",education,racial minorities,whites and males,are more representative of the populations they serve
635,809,"Affirmative action is a subject of controversy. Some policies adopted as affirmative action, such as racial quotas or gender quotas for collegiate admission, have been criticized as a form of reverse discrimination, and such implementation of affirmative action has been ruled unconstitutional by the majority opinion of Gratz v. Bollinger. Affirmative action as a practice was upheld by the Supreme Court's decision in Grutter v. Bollinger in 2003. Affirmative action policies were developed in order to correct decades of discrimination stemming from the Reconstruction Era by granting disadvantaged minorities opportunities. Many believe that the diversity of current American society suggests that affirmative action policies succeeded and are no longer required. Opponents of affirmative action argue that these policies are outdated and lead to reverse discrimination which entails favoring one group over another based upon racial preference rather than achievement.",What is another example aside from racial quotes of affirmative action for collegiate admissions?,Having quotas regarding admissions or employment has been criticized and said to be what kind of discrimination?,What case determined that some implementation of affirmative action was unconstitutional?,In which time period did discrimination policies originate from?,gender quotas,reverse,Gratz v. Bollinger,Reconstruction Era
636,810,"Africa separated from Antarctica in the Jurassic, around 160 Ma, followed by the Indian subcontinent in the early Cretaceous (about 125 Ma). By the end of the Cretaceous, about 66 Ma, Antarctica (then connected to Australia) still had a subtropical climate and flora, complete with a marsupial fauna. In the Eocene epoch, about 40 Ma Australia-New Guinea separated from Antarctica, so that latitudinal currents could isolate Antarctica from Australia, and the first ice began to appear. During the Eoceneâ€“Oligocene extinction event about 34 million years ago, CO2 levels have been found to be about 760 ppm and had been decreasing from earlier levels in the thousands of ppm.",In what period did Africa beak off from Antarctica?,When was Antarctica still joined to Australia?,What type of climate did Antarctica have in the Cretaceous period?,When did Australia separate from Antarctica?,Jurassic,end of the Cretaceous,subtropical,Eocene epoch
637,811,"African Americans made up 41 percent of death row inmates while making up only 12.6 percent of the general population. (They have made up 34 percent of those actually executed since 1976.) However, that number is lower than that of prison inmates, which is 47 percent. According to the US Department of Justice, African Americans accounted for 52.5% of homicide offenders from 1980 to 2008, with whites 45.3% and Native Americans and Asians 2.2%. This means African Americans are less likely to be executed on a per capita basis. However, according to a 2003 Amnesty International report, blacks and whites were the victims of murder in almost equal numbers, yet 80 percent of the people executed since 1977 were convicted of murders involving white victims. 13.5% of death row inmates are of Hispanic or Latino descent, while they make up 17.4% of the general population.",What percentage of American death row prisoners are African American?,What percentage of people executed in the United States since 1976 have been African American?,What percentage of American prison inmates are African American?,What percentage of homicides were committed by Asians between 1980 and 2008?,41,34,47,2.20%
638,813,"Africans were brought to Charles Town on the Middle Passage, first as ""servants"", then as slaves. Ethnic groups transported here included especially Wolof, Yoruba, Fulani, Igbo, Malinke, and other people of the Windward Coast. An estimated 40% of the total 400,000 Africans transported and sold as slaves into North America are estimated to have landed at Sullivan's Island, just off the port of Charles Town; it is described as a ""hellish Ellis Island of sorts .... Today nothing commemorates that ugly fact but a simple bench, established by the author Toni Morrison using private funds.""",What author paid for the simple bench at Sullivan's Island?,What percentage of those sold as slaves in North America landed at Sullivan's Island?,What stage of the slave trade provided slaves to Charles Town?,What peoples were brought to Charles Town to be slaves?,Toni Morrison,40%,Middle Passage,Africans
639,814,"Afro-Spaniards are Spanish nationals of West/Central African descent. They today mainly come from Angola, Brazil, Cameroon, Cape Verde, Equatorial Guinea, Ghana, Gambia, Guinea-Bissau, Mali, Nigeria and Senegal. Additionally, many Afro-Spaniards born in Spain are from the former Spanish colony Equatorial Guinea. Today, there are an estimated 683,000 Afro-Spaniards in Spain.",What are Afro-Spaniards?,Where do Afro-Spaniards come from?,Which Spanish colony do Afro-Spaniards reside?,How many Afro-Spaniards currently live in Spain?,Spanish nationals of West/Central African descent,"Angola, Brazil, Cameroon, Cape Verde, Equatorial Guinea, Ghana, Gambia, Guinea-Bissau, Mali, Nigeria and Senegal",Equatorial Guinea,"an estimated 683,000"
640,815,"After 12 years as commissioner of the AFL, David Baker retired unexpectedly on July 25, 2008, just two days before ArenaBowl XXII; deputy commissioner Ed Policy was named interim commissioner until Baker's replacement was found. Baker explained, ""When I took over as commissioner, I thought it would be for one year. It turned into 12. But now it's time.""",Who was the commissioner of the Arena Football League for the first half of 2008?,For how many years did David Baker serve as commissioner of the AFL?,On what date did Baker step down as commissioner of the AFL?,What Arena Football League event occurred two days after Baker's resignation?,David Baker,12,25-Jul-08,ArenaBowl XXII
641,816,"After 13 months at the hospital, Broz was sent to a work camp in the Ural Mountains where prisoners selected him for their camp leader. In February 1917, revolting workers broke into the prison and freed the prisoners. Broz subsequently joined a Bolshevik group. In April 1917, he was arrested again but managed to escape and participate in the July Days demonstrations in Petrograd (St. Petersburg) on 16â€“17 July 1917. On his way to Finland, Broz was caught and imprisoned in the Peter and Paul Fortress for three weeks. He was again sent to Kungur, but escaped from the train. He hid with a Russian family in Omsk, Siberia where he met his future wife Pelagija Belousova. After the October Revolution, he joined a Red Guard unit in Omsk. Following a White counteroffensive, he fled to Kirgiziya and subsequently returned to Omsk, where he married Belousova. In the spring of 1918, he joined the Yugoslav section of the Russian Communist Party. By June of the same year, Broz left Omsk to find work and support his family, and was employed as a mechanic near Omsk for a year.",How long was Broz in the hospital?,Where was Broz's work camp?,What position was he selected for at work camp?,Where did Broz flee to after a White counteroffensive?,13 months,Ural Mountains,camp leader,Kirgiziya
